dry:base/bool	class	dry.Bool
dry:base/char	class	dry.Char
dry:base/complex	interface	dry.Complex
dry:base/float	interface	dry.Float
dry:base/float16	class	dry.Float16
dry:base/float32	class	dry.Float32
dry:base/float64	class	dry.Float64
dry:base/float128	class	dry.Float128
dry:base/int	class	dry.Int
dry:base/int8	class	dry.Int8
dry:base/int16	class	dry.Int16
dry:base/int32	class	dry.Int32
dry:base/int64	class	dry.Int64
dry:base/int128	class	dry.Int128
dry:base/integer	interface	dry.Integer
dry:base/natural	class	dry.Natural
dry:base/number	interface	dry.Number
dry:base/rational	interface	dry.Rational
dry:base/real	interface	dry.Real
dry:base/symbol	interface	dry.Symbol
dry:base/word	interface	dry.Word
dry:base/word8	class	dry.Word8
dry:base/word16	class	dry.Word16
dry:base/word32	class	dry.Word32
dry:base/word64	class	dry.Word64
